Model,Fold,R2,MAE,RMSE
RandomForest,1,0.9965974438480768,50.95400505313119,113.43024597532298
RandomForest,2,0.9983481186368492,37.38106727107937,75.82592057425781
RandomForest,3,0.9967771130836081,47.38303660644176,108.39863226261261
RandomForest,4,0.9963626317096963,49.11135214858868,114.51792238083584
RandomForest,5,0.9957113549935107,46.5352620832277,121.8653063370365
ExtraTrees,1,0.998170338467571,40.97471069317575,83.17859916891035
ExtraTrees,2,0.9972438292805781,46.962734109678486,97.9447861228848
ExtraTrees,3,0.9964652264910557,54.66333926580353,113.52253082282812
ExtraTrees,4,0.9977348042324954,41.81837682102407,90.37175012816118
ExtraTrees,5,0.9953995230368872,31.383005665452764,126.21804969579618
HistGradientBoosting,1,0.9823608863083676,139.4523295819201,258.26443408793847
HistGradientBoosting,2,0.9079093509931274,273.6445841687802,566.1558924693675
HistGradientBoosting,3,0.9873728544655425,143.02678900222014,214.56252024192892
HistGradientBoosting,4,0.9729043675845714,162.77053057141956,312.55717151791305
HistGradientBoosting,5,0.9855198108527112,117.6540910636828,223.92735613743167
SVR,1,-0.6376440851394543,1739.4105169471443,2488.4904810090397
SVR,2,-0.34405850621447365,1419.4648781630065,2162.9045378249357
SVR,3,-0.4632305852225862,1553.4454828113057,2309.7110600163146
SVR,4,-0.553735467178222,1608.2139041476926,2366.8370655353565
SVR,5,-0.28629043244203944,1322.80253957641,2110.520401917152
GradientBoosting,1,0.9773480338896876,187.34909130838273,292.67065191382704
GradientBoosting,2,0.9820119874619265,157.85804435894784,250.21875318926132
GradientBoosting,3,0.9824212088491523,168.50342373692786,253.16039928412053
GradientBoosting,4,0.9787511134569303,163.13699717282964,276.78841640098153
GradientBoosting,5,0.9843223869895247,153.83540488119044,233.00219111859568
XGBoost,1,0.9911967659146192,104.99496765145301,182.45146230075747
XGBoost,2,0.9929983359654855,97.89121002490965,156.10934404189825
XGBoost,3,0.9939889874375208,91.69120868276084,148.03863996311208
XGBoost,4,0.9888088841345019,109.05225550205674,200.87066539598058
XGBoost,5,0.9929824181544131,93.68934637807112,155.8883923672977
