Feature,Feature_Label,X_Value,Partial_Effect,CI_Lower,CI_Upper
E Fixed,$E_{\mathrm{fixed}}$,44100000000.0,-3701.323328691483,-5716.991602905243,-1685.6550544777226
E Fixed,$E_{\mathrm{fixed}}$,47927272727.27273,-3492.771447779256,-5415.634019170238,-1569.9088763882735
E Fixed,$E_{\mathrm{fixed}}$,51754545454.545456,-3299.664056840626,-5138.4368748504,-1460.8912388308513
E Fixed,$E_{\mathrm{fixed}}$,55581818181.818184,-3121.0531356693805,-4885.402028775402,-1356.704242563359
E Fixed,$E_{\mathrm{fixed}}$,59409090909.09091,-2955.990664059308,-4656.155885457169,-1255.825442661448
E Fixed,$E_{\mathrm{fixed}}$,63236363636.36363,-2803.5286218041956,-4449.948569259548,-1157.108674348843
E Fixed,$E_{\mathrm{fixed}}$,67063636363.63637,-2662.711480371811,-4265.720108426993,-1059.702852316629
E Fixed,$E_{\mathrm{fixed}}$,70890909090.90909,-2530.38905534272,-4100.149457998797,-960.6286526866431
E Fixed,$E_{\mathrm{fixed}}$,74718181818.18182,-2398.1789714057354,-3944.4583100334717,-851.8996327779992
E Fixed,$E_{\mathrm{fixed}}$,78545454545.45454,-2256.935784857061,-3788.152830567141,-725.7187391469815
E Fixed,$E_{\mathrm{fixed}}$,82372727272.72726,-2097.514051992899,-3619.73605689586,-575.2920470899383
E Fixed,$E_{\mathrm{fixed}}$,86200000000.0,-1910.7683291094513,-3426.9747242995813,-394.5619339193213
E Fixed,$E_{\mathrm{fixed}}$,90027272727.27274,-1687.8982422866095,-3197.735884764201,-178.0605998090184
E Fixed,$E_{\mathrm{fixed}}$,93854545454.54546,-1438.1604720719922,-2939.347642765947,63.026698621962396
E Fixed,$E_{\mathrm{fixed}}$,97681818181.81818,-1197.3756821760367,-2687.969796911465,293.21843255939143
E Fixed,$E_{\mathrm{fixed}}$,101509090909.09091,-1003.4908690966306,-2482.3291070240084,475.347368830747
E Fixed,$E_{\mathrm{fixed}}$,105336363636.36365,-894.4530293316617,-2361.061348485325,572.1552898220019
E Fixed,$E_{\mathrm{fixed}}$,109163636363.63637,-908.2091593790184,-2362.6642957811177,546.2459770230809
E Fixed,$E_{\mathrm{fixed}}$,112990909090.90909,-1080.5794855301917,-2523.7080472391535,362.54907617877006
E Fixed,$E_{\mathrm{fixed}}$,116818181818.18182,-1404.6154395283056,-2838.630778038799,29.399898982187324
E Fixed,$E_{\mathrm{fixed}}$,120645454545.45454,-1833.7591813850208,-3262.5314080463168,-404.98695472372515
E Fixed,$E_{\mathrm{fixed}}$,124472727272.72728,-2319.959172421091,-3748.474753135201,-891.4435917069809
E Fixed,$E_{\mathrm{fixed}}$,128300000000.0,-2815.163873957264,-4248.492801052631,-1381.8349468618974
E Fixed,$E_{\mathrm{fixed}}$,132127272727.27274,-3271.321747314295,-4713.579068258021,-1829.0644263705692
E Fixed,$E_{\mathrm{fixed}}$,135954545454.54546,-3642.556784625307,-5096.367782125266,-2188.745787125348
E Fixed,$E_{\mathrm{fixed}}$,139781818181.81818,-3904.996306731711,-5371.884755813533,-2438.1078576498885
E Fixed,$E_{\mathrm{fixed}}$,143609090909.0909,-4047.5438420466744,-5528.324343244352,-2566.7633408489964
E Fixed,$E_{\mathrm{fixed}}$,147436363636.36365,-4059.2602924506973,-5553.859778174761,-2564.6608067266334
E Fixed,$E_{\mathrm{fixed}}$,151263636363.63635,-3929.206559824275,-5436.226283919337,-2422.1868357292124
E Fixed,$E_{\mathrm{fixed}}$,155090909090.90912,-3646.443546047906,-5162.735849664137,-2130.1512424316743
E Fixed,$E_{\mathrm{fixed}}$,158918181818.18182,-3206.5315539867343,-4727.359733339107,-1685.7033746343616
E Fixed,$E_{\mathrm{fixed}}$,162745454545.45456,-2642.1362074457716,-4163.147887476669,-1121.1245274148746
E Fixed,$E_{\mathrm{fixed}}$,166572727272.7273,-1999.0702148291882,-3516.8751059895785,-481.2653236687979
E Fixed,$E_{\mathrm{fixed}}$,170400000000.0,-1323.1616905286915,-2834.9617952384206,188.63841418103743
E Fixed,$E_{\mathrm{fixed}}$,174227272727.27274,-660.23874893595,-2163.3940800972746,842.9165822253746
E Fixed,$E_{\mathrm{fixed}}$,178054545454.54547,-56.12843688588753,-1547.9039463187953,1435.6470725470201
E Fixed,$E_{\mathrm{fixed}}$,181881818181.81818,449.5639197198263,-1028.6606159233854,1927.788455363038
E Fixed,$E_{\mathrm{fixed}}$,185709090909.0909,838.1069327639434,-626.947857828957,2303.161723356844
E Fixed,$E_{\mathrm{fixed}}$,189536363636.36365,1095.1419267137194,-359.7731709244324,2550.0570243518714
E Fixed,$E_{\mathrm{fixed}}$,193363636363.63638,1206.3102260364137,-243.41262347937732,2656.0330755522045
E Fixed,$E_{\mathrm{fixed}}$,197190909090.9091,1157.2531551992852,-293.35870618093554,2607.865016579506
E Fixed,$E_{\mathrm{fixed}}$,201018181818.18182,933.7562800451523,-524.594308028116,2392.1068681184206
E Fixed,$E_{\mathrm{fixed}}$,204845454545.45456,541.9003787123607,-931.2634203231595,2015.0641777478809
E Fixed,$E_{\mathrm{fixed}}$,208672727272.7273,28.811915771920567,-1465.230545146232,1522.8543766900734
E Fixed,$E_{\mathrm{fixed}}$,212500000000.0,-553.4311082347629,-2073.2565447214665,966.3943282519408
E Fixed,$E_{\mathrm{fixed}}$,216327272727.27274,-1152.7506927663144,-2701.4977699330657,395.9963844004369
E Fixed,$E_{\mathrm{fixed}}$,220154545454.54547,-1717.0688372813293,-3295.1753466464006,-138.96232791625766
E Fixed,$E_{\mathrm{fixed}}$,223981818181.8182,-2195.0753855846556,-3799.3732362456362,-590.7775349236749
E Fixed,$E_{\mathrm{fixed}}$,227809090909.0909,-2563.3353937241477,-4187.794415622182,-938.8763718261139
E Fixed,$E_{\mathrm{fixed}}$,231636363636.36365,-2833.5220894154427,-4470.882936084907,-1196.1612427459786
E Fixed,$E_{\mathrm{fixed}}$,235463636363.63638,-3019.547313628511,-4661.424418566279,-1377.6702086907428
E Fixed,$E_{\mathrm{fixed}}$,239290909090.9091,-3135.3229073333227,-4772.131160491006,-1498.5146541756394
E Fixed,$E_{\mathrm{fixed}}$,243118181818.18182,-3194.7607114998505,-4815.617772014121,-1573.9036509855796
E Fixed,$E_{\mathrm{fixed}}$,246945454545.45456,-3211.3982335441247,-4804.116057796986,-1618.680409291264
E Fixed,$E_{\mathrm{fixed}}$,250772727272.7273,-3192.9023077557654,-4745.1579317516935,-1640.6466837598368
E Fixed,$E_{\mathrm{fixed}}$,254600000000.0,-3142.278567010752,-4642.735719103219,-1641.821414918285
E Fixed,$E_{\mathrm{fixed}}$,258427272727.27274,-3062.404247776061,-4500.9603201025875,-1623.848175449534
E Fixed,$E_{\mathrm{fixed}}$,262254545454.54547,-2956.156586518669,-4324.1311759623595,-1588.1819970749782
E Fixed,$E_{\mathrm{fixed}}$,266081818181.8182,-2826.412819705555,-4116.723221829092,-1536.1024175820182
E Fixed,$E_{\mathrm{fixed}}$,269909090909.0909,-2676.0191519029167,-3883.348126607463,-1468.69017719837
E Fixed,$E_{\mathrm{fixed}}$,273736363636.36365,-2507.5645491803552,-3628.459585487515,-1386.6695128731953
E Fixed,$E_{\mathrm{fixed}}$,277563636363.63635,-2323.5107849508736,-3356.600677297166,-1290.420892604581
E Fixed,$E_{\mathrm{fixed}}$,281390909090.9091,-2126.318728648575,-3072.669071034945,-1179.9683862622048
E Fixed,$E_{\mathrm{fixed}}$,285218181818.1818,-1918.449249707567,-2782.0211739428487,-1054.8773254722857
E Fixed,$E_{\mathrm{fixed}}$,289045454545.4546,-1702.363217561947,-2490.564227231326,-914.1622078925678
E Fixed,$E_{\mathrm{fixed}}$,292872727272.7273,-1480.2661944935328,-2204.430085716116,-756.1023032709493
E Fixed,$E_{\mathrm{fixed}}$,296700000000.0,-1253.1449877184787,-1928.6387167879466,-577.6512586490109
E Fixed,$E_{\mathrm{fixed}}$,300527272727.2727,-1021.623140272387,-1667.8066781156022,-375.43960242917194
